title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Binding of Isaac,binding of isaac,PC,PC,2014,Roguelike,Nicalis,BOI,Binding of Isaac,binding.of.isaac|boi
Baldur's Gate 3,baldurs gate 3,PC,PC,2023,RPG,Larian Studios,BG3,Baldur's Gate,baldurs.gate.3|bg3
Divinity Original Sin 2,divinity original sin 2,PC,PC,2017,RPG,Larian Studios,DOS2,Divinity,dos2|divinity.original.sin.2
Skyrim,skyrim,PC,PC,2011,RPG,Bethesda,Elder Scrolls V,The Elder Scrolls,skyrim|elder.scrolls.v|tes.v
Fallout 4,fallout 4,PC,PC,2015,RPG,Bethesda,,Fallout,fallout.4|fallout4
Fallout New Vegas,fallout new vegas,PC,PC,2010,RPG,Obsidian,FONV,Fallout,fallout.new.vegas|fonv
The Elder Scrolls Online,elder scrolls online,PC,PC,2014,MMORPG,ZeniMax,ESO,The Elder Scrolls,eso
Starfield,starfield,PC,PC,2023,RPG,Bethesda,,Starfield,starfield
No Man's Sky,no mans sky,PC,PC,2016,Survival,Hello Games,NMS,No Man's Sky,nms|no.mans.sky
Subnautica,subnautica,PC,PC,2018,Survival,Unknown Worlds,,Subnautica,subnautica
Valheim,valheim,PC,PC,2021,Survival,Iron Gate AB,,Valheim,valheim
Satisfactory,satisfactory,PC,PC,2019,Simulation,Coffee Stain,,Satisfactory,satisfactory
Factorio,factorio,PC,PC,2020,Simulation,Wube Software,,Factorio,factorio
Cities Skylines,cities skylines,PC,PC,2015,Simulation,Colossal Order,Cities,Cities Skylines,cities.skylines
Cities Skylines 2,cities skylines 2,PC,PC,2023,Simulation,Colossal Order,Cities 2,Cities Skylines,cities.skylines.2|cities.2
SimCity 4,simcity 4,PC,PC,2003,Simulation,Maxis,SC4,SimCity,simcity.4|sc4
Planet Coaster,planet coaster,PC,PC,2016,Simulation,Frontier,,Planet Coaster,planet.coaster
Planet Zoo,planet zoo,PC,PC,2019,Simulation,Frontier,,Planet Zoo,planet.zoo
RimWorld,rimworld,PC,PC,2018,Simulation,Ludeon,,RimWorld,rimworld
Dwarf Fortress,dwarf fortress,PC,PC,2006,Simulation,Bay 12 Games,DF,Dwarf Fortress,dwarf.fortress|df
Oxygen Not Included,oxygen not included,PC,PC,2019,Simulation,Klei,ONI,Oxygen Not Included,oxygen.not.included|oni
Don't Starve,dont starve,PC,PC,2013,Survival,Klei,,Don't Starve,dont.starve|dontstarve
Don't Starve Together,dont starve together,PC,PC,2016,Survival,Klei,DST,Don't Starve,dst|dont.starve.together
Stellaris,stellaris,PC,PC,2016,Strategy,Paradox,,Stellaris,stellaris
Crusader Kings 3,crusader kings 3,PC,PC,2020,Strategy,Paradox,CK3,Crusader Kings,ck3|crusader.kings.3
Europa Universalis 4,europa universalis 4,PC,PC,2013,Strategy,Paradox,EU4,Europa Universalis,eu4
Hearts of Iron 4,hearts of iron 4,PC,PC,2016,Strategy,Paradox,HOI4,Hearts of Iron,hoi4
Civilization 6,civilization 6,PC,PC,2016,Strategy,Firaxis,Civ 6,Civilization,civ.6|civ6
Civilization 5,civilization 5,PC,PC,2010,Strategy,Firaxis,Civ 5,Civilization,civ.5|civ5
Age of Empires 4,age of empires 4,PC,PC,2021,Strategy,Relic,AOE4,Age of Empires,aoe4|age.of.empires.4
Age of Empires 2 Definitive,age of empires 2 definitive,PC,PC,2019,Strategy,Forgotten Empires,AOE2 DE,Age of Empires,aoe2|age.of.empires.2
StarCraft 2,starcraft 2,PC,PC,2010,RTS,Blizzard,SC2,StarCraft,sc2|starcraft.2
Total War Warhammer 3,total war warhammer 3,PC,PC,2022,Strategy,Creative Assembly,TWW3,Total War,tww3|total.war.warhammer.3
Phasmophobia,phasmophobia,PC,PC,2020,Horror,Kinetic Games,,Phasmophobia,phasmophobia
Lethal Company,lethal company,PC,PC,2023,Horror,Zeekerss,,Lethal Company,lethal.company
Palworld,palworld,PC,PC,2024,Survival,Pocketpair,,Palworld,palworld
Hogwarts Legacy,hogwarts legacy,PC,PC,2023,Action-Adventure,Avalanche,,Hogwarts Legacy,hogwarts.legacy
Spider-Man,marvels spider man,PC,PC,2022,Action-Adventure,Insomniac,Spider-Man,Marvel,spider.man|marvels.spider.man
God of War,god of war,PC,PC,2022,Action-Adventure,Santa Monica Studio,GOW 2018,God of War,god.of.war|gow
The Last of Us,the last of us,PC,PC,2023,Action-Adventure,Naughty Dog,TLOU,The Last of Us,the.last.of.us|tlou
Horizon Zero Dawn,horizon zero dawn,PC,PC,2020,Action-Adventure,Guerrilla,HZD,Horizon,hzd|horizon.zero.dawn
Ghost of Tsushima,ghost of tsushima,PC,PC,2024,Action-Adventure,Sucker Punch,GOT,Ghost of Tsushima,ghost.of.tsushima|got
Death Stranding,death stranding,PC,PC,2020,Adventure,Kojima Productions,DS,Death Stranding,death.stranding|ds
Doom Eternal,doom eternal,PC,PC,2020,FPS,id Software,,DOOM,doom.eternal
Doom 2016,doom 2016,PC,PC,2016,FPS,id Software,DOOM,DOOM,doom.2016|doom.4
Quake,quake,PC,PC,1996,FPS,id Software,,Quake,quake
Duke Nukem 3D,duke nukem 3d,PC,PC,1996,FPS,3D Realms,Duke3D,Duke Nukem,duke.nukem.3d|dukenukem3d|duke3d
Hotline Miami,hotline miami,PC,PC,2012,Action,Dennaton,,Hotline Miami,hotline.miami
Katana Zero,katana zero,PC,PC,2019,Action,Askiisoft,,Katana Zero,katana.zero
Forza Horizon 5,forza horizon 5,PC,PC,2021,Racing,Playground Games,FH5,Forza,forza.horizon.5|fh5
Assetto Corsa,assetto corsa,PC,PC,2014,Racing,Kunos,AC,Assetto Corsa,assetto.corsa|ac
Euro Truck Simulator 2,euro truck simulator 2,PC,PC,2012,Simulation,SCS,ETS2,Euro Truck,ets2|euro.truck.simulator.2
